symbol,name,sector,status
TLC.AX,The Lottery Corporation,Consumer Discretionary,member
TLS.AX,Telstra,Communication Services,member
TLX.AX,Telix Pharmaceuticals,Healthcare,member
TNE.AX,TechnologyOne,Information Technology,member
TPG.AX,TPG Telecom,Communication Services,member
TUA.AX,Tuas,Communication Services,member
TWE.AX,Treasury Wine Estates,Consumer Staples,member
VAU.AX,Vault Minerals,Materials,member
VCX.AX,Vicinity Centres,Real Estate,member
VEA.AX,Viva Energy,Energy,member
VGN.AX,Virgin Australia Holdings,Industrials,member
VNT.AX,Ventia Services Group,Industrials,member
WAF.AX,West African Resources,Materials,member
WAM.AX,WAM Capital,Financials,member
WBC.AX,Westpac,Financials,member
WDS.AX,Woodside Energy Group,Energy,member
WES.AX,Wesfarmers,Consumer Discretionary,member
WGX.AX,Westgold Resources,Materials,member
WHC.AX,Whitehaven Coal,Energy,member
WLE.AX,WAM Leaders,Financials,member
WOR.AX,Worley,Energy,member
WOW.AX,Woolworths Group,Consumer Staples,member
WTC.AX,Wisetech Global,Information Technology,member
XRO.AX,Xero,Information Technology,member
XYZ.AX,"Block, Inc.",Financials,member
YAL.AX,Yancoal Australia,Materials,member
ZIM.AX,Zimplats Holdings,Materials,member
ZIP.AX,Zip,Financials,member
VAS.AX,Vanguard Australian Shares ETF,ETF,benchmark
^AXJO,S&P/ASX 200 Index,Index,benchmark
^AXVI,S&P/ASX 200 VIX,Index,benchmark
^GSPC,S&P 500 Index,Index,benchmark
